#          Chi2            h           Omegam           Omegak          
        29.5886        0.704826        0.278834      0.00231119 
        30.0527        0.702264        0.258703       0.0315201 
        30.0999        0.703862        0.272629       0.0478181 
        30.8147        0.703027        0.227435       0.0794882 
        29.6201        0.704043        0.238964       0.0773501 
        31.9745        0.709011        0.210882       0.0934273 
        31.3955        0.708252        0.259223        0.028936 
        32.8599         0.70805        0.258482      -0.0501507 
        31.4145        0.706793        0.291532      -0.0973629 
        38.2537        0.700173        0.313064       -0.132554 
        30.0493        0.701437        0.337078      -0.0961528 
        30.0895        0.705974        0.333277       -0.118154 
         34.391        0.701974         0.33048       -0.161334 
        33.9348        0.700035        0.341506       -0.154284 
        35.5055        0.694988        0.381922        -0.15781 
        32.8239        0.700196        0.395474       -0.160697 
        31.8953        0.698358        0.348995       -0.113972 
        31.4691        0.703044        0.333566       -0.149275 
